newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-06-08T11:55:16+00:00,June,Q2,160,0.5,15,-11.82443033,37.8367726
2020-06-08T11:55:16+00:00,June,Q2,160,0.5,25,-11.77852004,38.54233884
2020-06-08T11:55:16+00:00,June,Q2,160,0.5,11,-11.88410445,38.06212445
2020-06-11T12:42:47+00:00,June,Q2,163,1,72,-12.215609,38.32285896
2020-06-09T09:41:56+00:00,June,Q2,161,0.5,5,-11.8349546,37.7236194
2020-06-09T21:26:05+00:00,June,Q2,161,0.75,5,-11.2963426,38.6652788
2020-06-10T12:59:52+00:00,June,Q2,162,0.5,9,-11.72791556,37.82052144
2020-06-10T09:59:43+00:00,June,Q2,162,0.75,4,-11.71784775,36.2702405
2020-06-10T21:02:37+00:00,June,Q2,162,0.5,13,-11.37083627,38.22655227
2020-06-11T12:42:47+00:00,June,Q2,163,0.5,39,-11.59350921,38.12447642
2020-06-11T09:27:18+00:00,June,Q2,163,0.5,7,-11.834318,37.92835357
2020-06-11T21:04:16+00:00,June,Q2,163,0.75,20,-11.71096353,38.70504673
2020-06-14T09:47:19+00:00,June,Q2,166,1,175,-11.5402725,38.1050575
2020-06-11T21:04:16+00:00,June,Q2,163,0.5,6,-11.479096,38.427503
2020-06-12T20:06:30+00:00,June,Q2,164,0.75,14,-11.55073643,37.98180336
2020-06-12T20:06:30+00:00,June,Q2,164,0.5,41,-11.4768442,38.16913734
2020-06-13T12:00:52+00:00,June,Q2,165,0.5,24,-12.33465525,38.49889704
2020-06-21T09:34:17+00:00,June,Q2,173,1,65,-12.0706315,38.15875508
2020-06-14T01:39:28+00:00,June,Q2,166,0.75,30,-12.38337697,38.35353577
2020-06-15T22:54:00+00:00,June,Q2,167,1,32,-11.78176143,38.29582421
2020-06-13T12:00:52+00:00,June,Q2,165,0.5,33,-11.742359,38.2279365
2020-06-14T09:57:45+00:00,June,Q2,166,0.75,21,-11.31235552,38.62267543
